date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:13	130133/130133	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:622eef95a6b8dba7c2c949650c0f5d39%22	https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM	D:/EXE101/Vata/www.seeson.vn/collections/phu-kien4ef5.html	(from )
22:51:14	552/552	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:682c6ce803d50e76f473c97565f036e7%22	https://www.seeson.vn/robots.txt		(from )
22:51:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2006%20Nov%202024%2015:51:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/EXE101/Vata/www.googletagmanager.com/gtm.15445.delayed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:15	130133/130133	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:622eef95a6b8dba7c2c949650c0f5d39%22	https://www.seeson.vn/collections/phu-kien	D:/EXE101/Vata/www.seeson.vn/collections/phu-kien.html	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:15%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/video-custom.js?v=11542390968239519051719468218	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/video-custom.421ed.delayed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:16	89664/89664	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15e40%22	https://code.jquery.com/jquery-3.6.1.min.js	D:/EXE101/Vata/code.jquery.com/jquery-3.6.1.min.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:16	3733/3733	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2028%20Jun%202024%2006:34:46%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/video-custom.js?v=11542390968239519051719468218	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/video-custom21ed.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:17%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/global.js?v=61584342943541371301726768292	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/globalc786.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:17	13166/13166	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2006%20Nov%202024%2015:51:17%20GMT	https://kit.fontawesome.com/7571e0b7d0.js	D:/EXE101/Vata/kit.fontawesome.com/7571e0b7d0.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:17	31354/31354	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2019%20Sep%202024%2017:51:46%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/global.js?v=61584342943541371301726768292	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/globalc786.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:17	59/59	---MC-	302	error ('Found')	text/plain	date:Wed,%2006%20Nov%202024%2015:51:17%20GMT	https://unpkg.com/flickity@2/dist/flickity.min.css	D:/EXE101/Vata/unpkg.com/flickity@2/dist/flickity.min.9.delayed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:18	1797/1797	---MCZ	200	added ('OK')	text/css	etag:W/%22705-iG4rBnn9uZ8eW5XLtZHjveGiMLs%22	https://unpkg.com/flickity@2.3.0/dist/flickity.min.css	D:/EXE101/Vata/unpkg.com/flickity@2.3.0/dist/flickity.min.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:18	63/63	---MC-	302	error ('Found')	text/plain	date:Wed,%2006%20Nov%202024%2015:51:18%20GMT	https://unpkg.com/flickity@2/dist/flickity.pkgd.min.js	D:/EXE101/Vata/unpkg.com/flickity@2/dist/flickity.pkgd.min.b.delayed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:18	57654/57654	---MCZ	200	added ('OK')	application/javascript	etag:%22e136-ppFLVfsImDkhRKQGmGrAD36fhGA%22	https://unpkg.com/flickity@2.3.0/dist/flickity.pkgd.min.js	D:/EXE101/Vata/unpkg.com/flickity@2.3.0/dist/flickity.pkgd.min.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:19%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/store.js?v=33663639350358573411726677071	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/store6513.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:19	2520/2520	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2018%20Sep%202024%2016:31:17%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/store.js?v=33663639350358573411726677071	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/store6513.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:19	2995/2995	---MC-	200	added ('OK')	application/atom+xml	etag:W/%22cacheable:92a36e5e3510100afc9a702bb9489a76%22	https://www.seeson.vn/collections/phu-kien.atom	D:/EXE101/Vata/www.seeson.vn/collections/phu-kien.atom	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:19	1500/1500	---MC-	200	added ('OK')	application/json+oembed	etag:W/%22cacheable:60f329dae7674f9eca4050c87219af6d%22	https://www.seeson.vn/collections/phu-kien.oembed	D:/EXE101/Vata/www.seeson.vn/collections/phu-kien.oembed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:20	5244/5244	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Nov%202024%2015:51:20%20GMT	https://www.seeson.vn/checkouts/internal/preloads.js?locale=vi-VN	D:/EXE101/Vata/www.seeson.vn/checkouts/internal/preloads3ffb.js	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:20%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/base.css?v=55390670338643064921726797809	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/base.1283fe.delayed	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:20	68220/68220	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2002:03:42%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/base.css?v=55390670338643064921726797809	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/base83fe.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:20%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/section-footer.css?v=45226133060996174621719468218	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/section-footerd480.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:20	7803/7803	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Jun%202024%2006:34:46%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/section-footer.css?v=45226133060996174621719468218	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/section-footerd480.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:21%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/main_dev.css?v=44557054489593658701726799429	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/main_devc421.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2015:51:21%20GMT	http://www.seeson.vn/cdn/shop/t/49/assets/dev.css?v=76000048965871642521726558834	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/dev6fc4.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:21	32745/32745	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2002:30:38%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/main_dev.css?v=44557054489593658701726799429	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/main_devc421.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
22:51:21	9392/9392	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Sep%202024%2007:40:38%20GMT	https://www.seeson.vn/cdn/shop/t/49/assets/dev.css?v=76000048965871642521726558834	D:/EXE101/Vata/www.seeson.vn/cdn/shop/t/49/assets/dev6fc4.css	(from https://www.seeson.vn/collections/phu-kien?srsltid=AfmBOopc7slsURmza_ZUSeBixapZCC0uIr7Rz_8m7N_ldtSI_K9uviyM)
